*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 14, 2021 09:08:55

*RUN   1        : 20 IRRIG, PETPEN NO KCB.. MZCER047 KSRT2001    1
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, PETPEN NO KCB.. MZCER047
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                    NH4 (ppm) at soil dep. (cm):                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    
 2020 174    69     0     0    83.4    81.6     1.7     0.0   63.91   64.61    0.16    0.00    0.00   63.91    2.28    0.00    0.00    3.66     6.2     7.1    7.12    4.68    3.98    2.29    2.15    0.12    0.19    0.14    0.15    0.07    0.07    0.05    0.05    3.78    6.38    7.25    7.26    4.74    4.05    2.34    2.20
 2020 175    70     0     0    83.8    81.9     1.9     0.0   65.02   65.52    0.16    0.00    0.00   65.02    2.96    0.00    0.00    3.61     6.0     7.1    7.16    4.72    4.02    2.32    2.17    0.22    0.27    0.15    0.15    0.07    0.07    0.05    0.05    3.83    6.22    7.25    7.31    4.79    4.09    2.36    2.22
 2020 176    71     0     0    84.3    82.5     1.9     0.0   66.11   66.69    0.16    0.00    0.00   66.11    3.51    0.00    0.00    4.27     5.9     7.1    7.13    4.71    4.03    2.33    2.19    0.20    0.22    0.15    0.15    0.07    0.07    0.05    0.05    4.47    6.17    7.24    7.28    4.78    4.10    2.38    2.24
 2020 177    72     0     0    84.0    82.2     1.8     0.0   67.30   67.96    0.16    0.00    0.00   67.30    5.01    0.00    0.00    4.20     5.6     7.0    7.05    4.74    4.08    2.36    2.21    0.18    0.19    0.14    0.15    0.07    0.07    0.05    0.05    4.39    5.83    7.10    7.20    4.81    4.14    2.41    2.26
 2020 178    73     0     0    83.8    82.1     1.7     0.0   68.52   69.24    0.16    0.00    0.00   68.52    6.41    0.00    0.00    4.18     5.4     6.8    6.97    4.76    4.12    2.39    2.24    0.16    0.18    0.14    0.14    0.06    0.07    0.04    0.05    4.33    5.58    6.97    7.11    4.82    4.19    2.43    2.29
 2020 179    74     0     0    83.4    81.7     1.7     0.0   69.74   70.53    0.16    0.00    0.00   69.74    8.07    0.00    0.00    4.10     5.1     6.7    6.83    4.76    4.17    2.42    2.27    0.13    0.17    0.13    0.14    0.06    0.06    0.04    0.05    4.22    5.29    6.80    6.96    4.82    4.24    2.46    2.31
 2020 180    75     0     0    82.1    80.5     1.6     0.0   70.98   71.84    0.16    0.00    0.00   70.98   10.63    0.00    0.00    3.99     4.7     6.3    6.51    4.69    4.20    2.45    2.29    0.10    0.15    0.13    0.13    0.06    0.06    0.04    0.05    4.09    4.80    6.47    6.64    4.75    4.27    2.49    2.34
 2020 181    76     0     0    79.8    78.3     1.5     0.0   72.24   73.16    0.16    0.00    0.00   72.24   14.17    0.00    0.00    2.44     4.7     5.8    6.00    4.54    4.18    2.48    2.32    0.09    0.14    0.12    0.13    0.06    0.06    0.04    0.05    2.54    4.88    5.97    6.13    4.60    4.24    2.52    2.37
 2020 182    77     0     0    76.3    74.7     1.6     0.0   73.58   74.42    0.16    0.00    0.00   73.58   19.00    0.00    0.00    1.98     3.8     5.2    5.34    4.30    4.07    2.51    2.35    0.22    0.17    0.12    0.12    0.06    0.06    0.04    0.05    2.20    3.97    5.30    5.46    4.36    4.13    2.56    2.39
 2020 183    78     0     0    73.6    72.0     1.5     0.0   74.89   75.80    0.16    0.00    0.00   74.89   23.06    0.00    0.00    2.32     3.2     4.6    4.74    4.03    3.89    2.53    2.36    0.17    0.16    0.11    0.11    0.06    0.06    0.04    0.04    2.49    3.39    4.73    4.86    4.09    3.95    2.57    2.41
 2020 184    79     0     0    69.9    68.4     1.5     0.0   76.14   77.09    0.16    0.00    0.00   76.14   28.00    0.00    0.00    1.89     2.5     4.0    4.07    3.70    3.62    2.56    2.39    0.17    0.14    0.10    0.11    0.06    0.06    0.04    0.04    2.06    2.63    4.07    4.18    3.76    3.68    2.60    2.44
 2020 185    80     0     0    65.9    64.4     1.4     0.0   77.34   78.34    0.16    0.00    0.00   77.34   33.21    0.00    0.00    1.44     1.8     3.3    3.35    3.31    3.26    2.59    2.42    0.15    0.13    0.09    0.10    0.06    0.06    0.04    0.05    1.59    1.90    3.35    3.45    3.37    3.32    2.63    2.46
 2020 186    81     0     0    61.3    59.9     1.4     0.0   78.47   79.51    0.16    0.00    0.00   78.47   38.91    0.00    0.00    0.95     1.1     2.5    2.54    2.82    2.79    2.62    2.45    0.13    0.12    0.08    0.10    0.06    0.06    0.04    0.05    1.08    1.21    2.55    2.64    2.88    2.85    2.67    2.49
 2020 187    82     0     0    56.8    55.4     1.4     0.0   79.52   80.59    0.16    0.00    0.00   79.52   44.43    0.00    0.00    0.67     0.5     1.7    1.72    2.26    2.24    2.65    2.47    0.10    0.10    0.08    0.09    0.06    0.06    0.04    0.05    0.78    0.65    1.75    1.81    2.32    2.30    2.69    2.52
 2020 188    83     0     0    54.1    52.7     1.4     0.0   80.49   81.55    0.16    0.00    0.00   80.49   48.15    0.00    0.00    0.59     0.3     1.1    1.18    1.81    1.80    2.68    2.50    0.10    0.10    0.08    0.09    0.06    0.06    0.04    0.05    0.69    0.44    1.23    1.27    1.88    1.86    2.72    2.54
 2020 189    84     0     0    52.5    51.1     1.4     0.0   81.43   82.51    0.16    0.00    0.00   81.43   50.67    0.00    0.00    0.64     0.3     0.8    0.83    1.46    1.45    2.70    2.52    0.09    0.09    0.08    0.09    0.06    0.06    0.04    0.05    0.73    0.43    0.89    0.92    1.53    1.52    2.74    2.57
 2020 190    85     0     0    51.3    50.0     1.3     0.0   82.33   83.43    0.16    0.00    0.00   82.33   52.70    0.00    0.00    0.72     0.3     0.6    0.61    1.19    1.18    2.70    2.55    0.08    0.08    0.08    0.08    0.06    0.06    0.04    0.05    0.80    0.41    0.66    0.69    1.25    1.25    2.75    2.59
 2020 191    86     0     0    50.4    49.1     1.3     0.0   83.20   84.36    0.16    0.00    0.00   83.20   54.52    0.00    0.00    0.80     0.3     0.4    0.46    0.98    0.97    2.69    2.57    0.07    0.08    0.07    0.08    0.05    0.06    0.04    0.05    0.87    0.40    0.52    0.54    1.03    1.03    2.73    2.62
 2020 192    87     0     0    49.5    48.3     1.3     0.0   84.05   85.25    0.16    0.00    0.00   84.05   56.22    0.00    0.00    0.87     0.3     0.3    0.36    0.80    0.81    2.65    2.60    0.07    0.07    0.07    0.07    0.04    0.05    0.04    0.05    0.94    0.39    0.42    0.43    0.85    0.86    2.69    2.64
 2020 193    88     0     0    48.8    47.6     1.2     0.0   84.89   86.12    0.16    0.00    0.00   84.89   57.79    0.00    0.00    0.93     0.3     0.3    0.31    0.67    0.67    2.59    2.62    0.06    0.07    0.07    0.07    0.04    0.05    0.04    0.05    0.99    0.39    0.38    0.38    0.71    0.72    2.63    2.67
 2020 194    89     0     0    48.3    47.1     1.2     0.0   85.71   86.98    0.16    0.00    0.00   85.71   59.12    0.00    0.00    0.99     0.3     0.3    0.31    0.59    0.56    2.53    2.65    0.06    0.07    0.07    0.07    0.03    0.04    0.04    0.05    1.05    0.38    0.38    0.38    0.62    0.60    2.57    2.69
 2020 195    90     0     0    47.8    46.7     1.1     0.0   86.50   87.80    0.16    0.00    0.00   86.50   60.36    0.00    0.00    1.04     0.3     0.3    0.31    0.53    0.51    2.47    2.67    0.06    0.06    0.06    0.07    0.03    0.03    0.04    0.05    1.09    0.37    0.37    0.37    0.56    0.54    2.51    2.72
 2020 196    91     0     0    47.4    46.3     1.1     0.0   87.24   88.55    0.16    0.00    0.00   87.24   61.54    0.00    0.00    1.08     0.3     0.3    0.30    0.49    0.46    2.41    2.70    0.06    0.06    0.06    0.07    0.03    0.03    0.04    0.05    1.14    0.37    0.36    0.37    0.52    0.49    2.45    2.75
 2020 197    92     0     0    46.9    45.8     1.1     0.0   87.96   89.28    0.16    0.00    0.00   87.96   62.71    0.00    0.00    1.13     0.3     0.3    0.30    0.46    0.43    2.34    2.72    0.07    0.06    0.06    0.06    0.03    0.03    0.04    0.05    1.20    0.36    0.36    0.36    0.48    0.46    2.38    2.77
 2020 198    93     0     0    46.5    45.4     1.1     0.0   88.65   89.98    0.16    0.00    0.00   88.65   63.84    0.00    0.00    1.19     0.3     0.3    0.30    0.43    0.40    2.27    2.75    0.07    0.06    0.06    0.06    0.03    0.03    0.04    0.05    1.26    0.36    0.36    0.36    0.45    0.43    2.30    2.79
 2020 199    94     0     0    46.1    44.9     1.1     0.0   89.31   90.65    0.16    0.00    0.00   89.31   64.94    0.00    0.00    1.24     0.3     0.3    0.29    0.40    0.38    2.19    2.77    0.07    0.06    0.06    0.06    0.03    0.03    0.04    0.05    1.31    0.35    0.35    0.36    0.43    0.41    2.23    2.82
 2020 200    95     0     0    45.4    44.3     1.1     0.0   89.98   91.32    0.16    0.00    0.00   89.98   66.27    0.00    0.00    0.85     0.3     0.3    0.29    0.39    0.36    2.12    2.79    0.10    0.06    0.06    0.06    0.03    0.03    0.04    0.05    0.95    0.37    0.35    0.36    0.41    0.39    2.16    2.84
 2020 201    96     0     0    44.7    43.6     1.1     0.0   90.68   92.00    0.16    0.00    0.00   90.68   67.65    0.00    0.00    0.43     0.3     0.3    0.29    0.37    0.35    2.05    2.82    0.17    0.06    0.06    0.06    0.02    0.03    0.03    0.05    0.59    0.36    0.35    0.35    0.40    0.37    2.09    2.87
 2020 202    97     0     0    44.3    43.2     1.1     0.0   91.36   92.70    0.16    0.00    0.00   91.36   68.76    0.00    0.00    0.39     0.3     0.3    0.29    0.36    0.34    1.99    2.84    0.18    0.06    0.06    0.06    0.02    0.02    0.03    0.05    0.56    0.36    0.35    0.35    0.38    0.36    2.02    2.89
 2020 203    98     0     0    44.0    42.9     1.1     0.0   92.04   93.40    0.16    0.00    0.00   92.04   69.76    0.00    0.00    0.40     0.3     0.3    0.29    0.35    0.33    1.93    2.87    0.17    0.06    0.05    0.06    0.02    0.02    0.03    0.05    0.58    0.35    0.35    0.35    0.37    0.35    1.96    2.91
 2020 204    99     0     0    43.7    42.6     1.1     0.0   92.68   94.07    0.16    0.00    0.00   92.68   70.70    0.00    0.00    0.39     0.3     0.3    0.29    0.34    0.32    1.88    2.89    0.15    0.06    0.05    0.06    0.02    0.02    0.03    0.05    0.55    0.35    0.34    0.35    0.36    0.34    1.90    2.94
 2020 205   100     0     0    43.4    42.4     1.0     0.0   93.28   94.71    0.16    0.00    0.00   93.28   71.55    0.00    0.00    0.39     0.3     0.3    0.29    0.33    0.31    1.83    2.91    0.12    0.06    0.05    0.06    0.02    0.02    0.03    0.05    0.51    0.36    0.34    0.34    0.35    0.33    1.86    2.96
 2020 206   101     0     0    43.3    42.3     1.0     0.0   93.84   95.30    0.16    0.00    0.00   93.84   72.23    0.00    0.00    0.45     0.3     0.3    0.29    0.32    0.31    1.79    2.94    0.10    0.05    0.05    0.05    0.02    0.02    0.03    0.05    0.55    0.37    0.34    0.34    0.35    0.33    1.82    2.98
 2020 207   102     0     0    43.3    42.3     0.9     0.0   94.40   95.90    0.16    0.00    0.00   94.40   72.82    0.00    0.00    0.54     0.3     0.3    0.29    0.32    0.30    1.76    2.96    0.09    0.05    0.05    0.05    0.02    0.02    0.02    0.05    0.62    0.39    0.34    0.34    0.34    0.33    1.78    3.01
 2020 208   103     0     0    43.3    42.4     0.9     0.0   94.95   96.49    0.16    0.00    0.00   94.95   73.33    0.00    0.00    0.20     0.4     0.4    0.29    0.32    0.30    1.73    2.98    0.07    0.05    0.05    0.05    0.02    0.02    0.02    0.05    0.28    0.49    0.44    0.34    0.34    0.33    1.75    3.03
 2020 209   104     0     0    43.2    42.0     1.2     0.0   95.74   97.00    0.16    0.00    0.00   95.74   74.20    0.00    0.00    0.22     0.3     0.3    0.30    0.33    0.31    1.71    3.01    0.21    0.19    0.07    0.05    0.02    0.02    0.02    0.05    0.42    0.44    0.37    0.34    0.34    0.33    1.73    3.06
 2020 210   105     0     0    43.5    42.2     1.3     0.0   96.53   97.63    0.16    0.00    0.00   96.53   74.68    0.00    0.00    0.28     0.3     0.3    0.30    0.33    0.32    1.68    3.03    0.29    0.27    0.08    0.04    0.02    0.02    0.02    0.05    0.57    0.58    0.39    0.35    0.35    0.34    1.70    3.08
 2020 211   106     0     0    43.7    42.5     1.2     0.0   97.29   98.51    0.16    0.00    0.00   97.29   75.26    0.00    0.00    0.43     0.5     0.3    0.30    0.33    0.33    1.66    3.05    0.21    0.20    0.09    0.05    0.02    0.02    0.02    0.05    0.64    0.67    0.41    0.35    0.35    0.35    1.68    3.10
 2020 212   107     0     0    43.6    42.3     1.3     0.0   98.03   99.20    0.16    0.00    0.00   98.03   76.12    0.00    0.00    0.31     0.4     0.3    0.30    0.33    0.35    1.63    3.07    0.29    0.19    0.09    0.05    0.02    0.02    0.02    0.05    0.60    0.59    0.40    0.35    0.35    0.37    1.65    3.12
 2020 213   108     0     0    43.6    42.3     1.3     0.0   98.72   99.91    0.16    0.00    0.00   98.72   76.81    0.00    0.00    0.44     0.4     0.3    0.30    0.33    0.37    1.61    3.09    0.23    0.20    0.09    0.05    0.02    0.02    0.02    0.05    0.67    0.57    0.40    0.35    0.35    0.39    1.63    3.14
 2020 214   109     0     0    43.5    42.3     1.3     0.0   99.37  100.56    0.16    0.00    0.00   99.37   77.52    0.00    0.00    0.39     0.4     0.3    0.30    0.33    0.37    1.59    3.11    0.22    0.20    0.09    0.05    0.02    0.02    0.02    0.05    0.60    0.57    0.39    0.35    0.35    0.39    1.61    3.16
 2020 215   110     0     0    43.5    42.3     1.2     0.0  100.02  101.24    0.16    0.00    0.00  100.02   78.18    0.00    0.00    0.39     0.4     0.3    0.30    0.33    0.37    1.57    3.14    0.20    0.19    0.09    0.05    0.02    0.02    0.02    0.05    0.59    0.57    0.39    0.35    0.35    0.39    1.59    3.18
 2020 216   111     0     0    43.5    42.3     1.2     0.0  100.64  101.92    0.16    0.00    0.00  100.64   78.83    0.00    0.00    0.36     0.4     0.3    0.31    0.33    0.37    1.55    3.16    0.18    0.17    0.08    0.05    0.02    0.02    0.02    0.05    0.54    0.55    0.38    0.35    0.35    0.39    1.56    3.21
 2020 217   112     0     0    43.4    42.3     1.2     0.0  101.25  102.52    0.16    0.00    0.00  101.25   79.47    0.00    0.00    0.34     0.4     0.3    0.31    0.33    0.37    1.52    3.18    0.19    0.16    0.08    0.05    0.02    0.02    0.02    0.05    0.54    0.52    0.38    0.36    0.35    0.39    1.54    3.23
 2020 218   113     0     0    43.5    42.3     1.2     0.0  101.84  103.14    0.16    0.00    0.00  101.84   80.05    0.00    0.00    0.38     0.3     0.3    0.31    0.33    0.41    1.50    3.19    0.20    0.15    0.08    0.05    0.02    0.02    0.02    0.05    0.58    0.49    0.37    0.36    0.35    0.43    1.52    3.24
 2020 219   114     0     0    43.4    42.3     1.1     0.0  102.42  103.74    0.16    0.00    0.00  102.42   80.63    0.00    0.00    0.30     0.4     0.3    0.32    0.34    0.41    1.49    3.22    0.20    0.13    0.08    0.05    0.02    0.02    0.02    0.05    0.50    0.50    0.37    0.37    0.36    0.43    1.51    3.27
 2020 220   115     0     0    43.5    42.3     1.2     0.0  103.02  104.31    0.16    0.00    0.00  103.02   81.18    0.00    0.00    0.37     0.3     0.3    0.32    0.34    0.40    1.47    3.24    0.21    0.15    0.07    0.05    0.02    0.02    0.02    0.05    0.57    0.48    0.37    0.37    0.36    0.43    1.49    3.29
 2020 221   116     0     0    43.6    42.4     1.1     0.0  103.61  104.92    0.16    0.00    0.00  103.61   81.70    0.00    0.00    0.38     0.3     0.3    0.33    0.34    0.40    1.45    3.26    0.20    0.15    0.07    0.05    0.02    0.02    0.02    0.05    0.58    0.49    0.36    0.37    0.36    0.42    1.47    3.31
 2020 222   117     0     0    43.6    42.5     1.1     0.0  104.21  105.58    0.16    0.00    0.00  104.21   82.24    0.00    0.00    0.40     0.3     0.3    0.34    0.35    0.41    1.44    3.28    0.18    0.12    0.07    0.04    0.02    0.02    0.02    0.05    0.57    0.47    0.36    0.38    0.36    0.43    1.46    3.33
 2020 223   118     0     0    43.6    42.6     1.0     0.0  104.77  106.24    0.16    0.00    0.00  104.77   82.80    0.00    0.00    0.39     0.3     0.3    0.35    0.35    0.41    1.42    3.31    0.13    0.09    0.06    0.04    0.02    0.02    0.02    0.05    0.52    0.43    0.36    0.39    0.37    0.43    1.44    3.36
 2020 224   119     0     0    43.7    42.8     0.9     0.0  105.32  106.85    0.16    0.00    0.00  105.32   83.25    0.00    0.00    0.47     0.3     0.3    0.36    0.36    0.41    1.41    3.33    0.10    0.07    0.06    0.04    0.02    0.02    0.02    0.05    0.57    0.39    0.35    0.40    0.38    0.43    1.43    3.38
 2020 225   120     0     0    43.9    43.0     0.9     0.0  105.86  107.43    0.16    0.00    0.00  105.86   83.63    0.00    0.00    0.56     0.3     0.3    0.38    0.37    0.42    1.40    3.36    0.08    0.06    0.05    0.04    0.02    0.02    0.02    0.05    0.64    0.37    0.35    0.42    0.38    0.44    1.41    3.40
 2020 226   121     0     0    44.1    43.2     0.9     0.0  106.38  107.97    0.16    0.00    0.00  106.38   83.96    0.00    0.00    0.63     0.3     0.3    0.40    0.37    0.43    1.39    3.38    0.08    0.06    0.05    0.04    0.02    0.02    0.02    0.05    0.71    0.37    0.34    0.44    0.39    0.44    1.40    3.43
 2020 227   122     0     0    44.3    43.4     0.8     0.0  106.88  108.48    0.16    0.00    0.00  106.88   84.25    0.00    0.00    0.70     0.3     0.3    0.42    0.38    0.43    1.38    3.40    0.07    0.05    0.05    0.04    0.02    0.02    0.02    0.05    0.77    0.37    0.34    0.46    0.40    0.45    1.39    3.45
 2020 228   123     0     0    44.5    43.7     0.8     0.0  107.36  108.97    0.16    0.00    0.00  107.36   84.49    0.00    0.00    0.75     0.3     0.3    0.45    0.39    0.44    1.37    3.43    0.07    0.05    0.05    0.04    0.02    0.02    0.02    0.05    0.82    0.39    0.34    0.48    0.41    0.46    1.39    3.47
 2020 229   124     0     0    44.8    43.9     0.8     0.0  107.83  109.44    0.16    0.00    0.00  107.83   84.71    0.00    0.00    0.80     0.4     0.3    0.47    0.40    0.45    1.36    3.45    0.07    0.05    0.04    0.04    0.02    0.02    0.02    0.05    0.87    0.40    0.34    0.51    0.42    0.47    1.38    3.50
 2020 230   125     0     0    45.1    44.2     0.8     0.0  108.30  109.92    0.16    0.00    0.00  108.30   84.89    0.00    0.00    0.55     0.5     0.3    0.50    0.42    0.46    1.35    3.47    0.08    0.05    0.04    0.04    0.02    0.02    0.02    0.05    0.63    0.58    0.35    0.53    0.43    0.48    1.37    3.52
 2020 231   126     0     0    44.9    44.0     0.9     0.0  108.88  110.38    0.16    0.00    0.00  108.88   85.60    0.00    0.00    0.27     0.3     0.3    0.52    0.43    0.47    1.35    3.50    0.20    0.09    0.04    0.04    0.02    0.02    0.02    0.05    0.47    0.37    0.36    0.56    0.44    0.49    1.36    3.54
 2020 232   127     0     0    45.3    44.4     0.9     0.0  109.44  110.96    0.16    0.00    0.00  109.44   85.81    0.00    0.00    0.44     0.3     0.3    0.55    0.44    0.54    1.34    3.50    0.19    0.08    0.04    0.04    0.02    0.02    0.02    0.05    0.62    0.40    0.38    0.59    0.46    0.56    1.36    3.55
 2020 233   128     0     0    45.5    44.6     0.9     0.0  109.96  111.52    0.16    0.00    0.00  109.96   86.15    0.00    0.00    0.40     0.3     0.4    0.57    0.45    0.56    1.34    3.53    0.15    0.07    0.04    0.04    0.02    0.02    0.02    0.05    0.54    0.38    0.40    0.61    0.47    0.57    1.35    3.58
 2020 234   129     0     0    45.7    44.9     0.9     0.0  110.46  112.05    0.16    0.00    0.00  110.46   86.35    0.00    0.00    0.51     0.3     0.4    0.60    0.46    0.57    1.33    3.55    0.10    0.07    0.04    0.04    0.02    0.02    0.01    0.05    0.62    0.37    0.41    0.64    0.48    0.58    1.35    3.60
 2020 235   130     0     0    46.0    45.2     0.8     0.0  110.94  112.55    0.16    0.00    0.00  110.94   86.54    0.00    0.00    0.60     0.3     0.4    0.62    0.47    0.58    1.33    3.57    0.09    0.06    0.04    0.04    0.02    0.02    0.01    0.05    0.68    0.36    0.43    0.66    0.49    0.59    1.34    3.62
 2020 236   131     0     0    46.3    45.5     0.8     0.0  111.41  113.03    0.16    0.00    0.00  111.41   86.71    0.00    0.00    0.67     0.3     0.4    0.65    0.49    0.59    1.33    3.60    0.08    0.06    0.04    0.04    0.02    0.02    0.01    0.05    0.75    0.36    0.45    0.69    0.50    0.61    1.34    3.65
 2020 237   132     0     0    46.7    45.9     0.8     0.0  111.88  113.51    0.16    0.00    0.00  111.88   86.85    0.00    0.00    0.49     0.4     0.4    0.68    0.50    0.60    1.32    3.62    0.07    0.06    0.04    0.04    0.02    0.02    0.01    0.05    0.56    0.48    0.48    0.71    0.51    0.62    1.34    3.67
 2020 238   133     0     0    46.8    45.9     0.9     0.0  112.44  113.98    0.16    0.00    0.00  112.44   87.31    0.00    0.00    0.27     0.3     0.5    0.70    0.51    0.61    1.32    3.65    0.19    0.08    0.04    0.04    0.02    0.02    0.01    0.05    0.47    0.38    0.51    0.74    0.53    0.63    1.33    3.69
 2020 239   134     0     0    47.2    46.3     0.9     0.0  113.01  114.58    0.16    0.00    0.00  113.01   87.46    0.00    0.00    0.46     0.3     0.5    0.72    0.53    0.70    1.32    3.65    0.18    0.07    0.03    0.04    0.02    0.02    0.01    0.05    0.64    0.41    0.55    0.76    0.54    0.72    1.34    3.70
 2020 240   135     0     0    47.4    46.6     0.8     0.0  113.53  115.16    0.16    0.00    0.00  113.53   87.72    0.00    0.00    0.50     0.3     0.5    0.75    0.54    0.71    1.32    3.67    0.11    0.06    0.03    0.03    0.02    0.02    0.01    0.05    0.61    0.38    0.57    0.79    0.56    0.73    1.34    3.72
 2020 241   136     0     0    47.8    47.0     0.8     0.0  114.05  115.69    0.16    0.00    0.00  114.05   87.88    0.00    0.00    0.24     0.4     0.6    0.78    0.55    0.72    1.32    3.70    0.09    0.06    0.03    0.03    0.02    0.02    0.01    0.05    0.33    0.47    0.66    0.81    0.57    0.74    1.34    3.74
 2020 242   137     0     0    48.0    46.9     1.1     0.0  114.75  116.14    0.16    0.00    0.00  114.75   88.38    0.00    0.00    0.25     0.3     0.5    0.81    0.57    0.74    1.32    3.72    0.21    0.19    0.05    0.03    0.02    0.02    0.01    0.05    0.46    0.45    0.58    0.84    0.58    0.75    1.33    3.77
 2020 243   138     0     0    48.3    47.1     1.2     0.0  115.46  116.67    0.16    0.00    0.00  115.46   88.76    0.00    0.00    0.31     0.3     0.4    0.83    0.58    0.76    1.32    3.74    0.30    0.27    0.06    0.04    0.02    0.02    0.01    0.05    0.61    0.58    0.46    0.87    0.59    0.77    1.34    3.79
 2020 244   139     0     0    48.6    47.5     1.1     0.0  116.17  117.52    0.16    0.00    0.00  116.17   89.16    0.00    0.00    0.40     0.5     0.4    0.85    0.60    0.81    1.33    3.75    0.21    0.20    0.07    0.04    0.02    0.02    0.01    0.05    0.60    0.65    0.45    0.89    0.62    0.83    1.34    3.80
 2020 245   140     0     0    48.7    47.4     1.3     0.0  116.90  118.03    0.16    0.00    0.00  116.90   89.78    0.00    0.00    0.32     0.3     0.3    0.87    0.62    0.86    1.33    3.76    0.29    0.28    0.10    0.04    0.02    0.02    0.01    0.05    0.61    0.58    0.43    0.91    0.64    0.88    1.34    3.81
 2020 246   141     0     0    49.1    47.9     1.3     0.0  117.58  118.77    0.16    0.00    0.00  117.58   90.07    0.00    0.00    0.44     0.4     0.3    0.89    0.64    0.90    1.33    3.77    0.24    0.23    0.12    0.04    0.02    0.02    0.01    0.05    0.68    0.65    0.45    0.93    0.66    0.92    1.34    3.82
 2020 247   142     0     0    49.3    48.0     1.2     0.0  118.23  119.44    0.16    0.00    0.00  118.23   90.59    0.00    0.00    0.39     0.4     0.3    0.91    0.65    0.91    1.33    3.79    0.22    0.22    0.12    0.04    0.02    0.02    0.01    0.05    0.61    0.60    0.43    0.95    0.67    0.93    1.35    3.84
 2020 248   143     0     0    49.5    48.3     1.2     0.0  118.89  120.11    0.16    0.00    0.00  118.89   91.00    0.00    0.00    0.38     0.4     0.3    0.93    0.66    0.92    1.33    3.82    0.21    0.21    0.12    0.04    0.02    0.02    0.01    0.05    0.59    0.59    0.44    0.97    0.68    0.94    1.35    3.87
 2020 249   144     0     0    49.8    48.5     1.2     0.0  119.55  120.76    0.16    0.00    0.00  119.55   91.40    0.00    0.00    0.37     0.4     0.3    0.96    0.67    0.93    1.33    3.84    0.21    0.21    0.12    0.04    0.02    0.02    0.01    0.05    0.58    0.58    0.44    1.00    0.69    0.95    1.35    3.89
 2020 250   145     0     0    50.1    48.9     1.2     0.0  120.24  121.47    0.16    0.00    0.00  120.24   91.79    0.00    0.00    0.39     0.4     0.3    0.98    0.69    0.94    1.33    3.86    0.21    0.21    0.12    0.04    0.02    0.02    0.01    0.05    0.59    0.59    0.44    1.02    0.70    0.96    1.35    3.91
 2020 251   146     0     0    50.4    49.2     1.2     0.0  120.98  122.25    0.16    0.00    0.00  120.98   92.22    0.00    0.00    0.29     0.4     0.4    1.01    0.70    0.95    1.34    3.89    0.19    0.20    0.11    0.04    0.02    0.02    0.01    0.05    0.49    0.59    0.49    1.04    0.71    0.97    1.35    3.94
 2020 252   147     0     0    50.7    49.3     1.4     0.0  121.76  122.82    0.16    0.00    0.00  121.76   92.69    0.00    0.00    0.22     0.3     0.4    1.05    0.71    0.96    1.34    3.91    0.30    0.30    0.13    0.04    0.02    0.02    0.01    0.05    0.52    0.58    0.49    1.08    0.73    0.98    1.35    3.96
 2020 253   148     0     0    51.0    49.3     1.7     0.0  122.51  123.29    0.16    0.00    0.00  122.51   93.18    0.00    0.00    0.16     0.3     0.3    1.01    0.72    0.97    1.34    3.94    0.38    0.37    0.20    0.04    0.02    0.02    0.01    0.05    0.55    0.64    0.48    1.05    0.74    0.99    1.35    3.99
 2020 254   149     0     0    50.9    49.0     2.0     0.0  123.19  123.69    0.16    0.00    0.00  123.19   93.87    0.00    0.00    0.20     0.3     0.3    0.68    0.73    0.98    1.34    3.96    0.44    0.43    0.26    0.09    0.02    0.02    0.01    0.05    0.64    0.72    0.53    0.77    0.75    1.00    1.35    4.01
 2020 255   150     0     0    51.0    48.9     2.1     0.0  123.76  124.09    0.16    0.00    0.00  123.76   94.40    0.00    0.00    0.24     0.3     0.3    0.48    0.74    0.99    1.34    3.98    0.47    0.46    0.29    0.11    0.02    0.02    0.01    0.05    0.71    0.75    0.56    0.58    0.76    1.01    1.35    4.03
 2020 256   151     0     0    51.0    48.8     2.2     0.0  124.25  124.47    0.16    0.00    0.00  124.25   94.83    0.00    0.00    0.28     0.3     0.3    0.34    0.75    0.99    1.34    4.00    0.49    0.48    0.32    0.12    0.02    0.02    0.01    0.05    0.77    0.77    0.59    0.46    0.77    1.01    1.35    4.05
